"Number","Start Time","End Time","Duration","Symbol Duration","TTS Symbol Duration","TTS Speed Closest","Speaker","Text"
"51","00:03:14,065","00:03:15,552","1.487","0.042485714285714286","0.0452063492063492","2.5","female","They do not change and they change."
"52","00:03:15,577","00:03:17,664","2.087","0.049690476190476195","0.049439153439153435","2.3","female","Television does not change and it changes."
"53","00:03:17,689","00:03:19,730","2.041","0.05233333333333333","0.05147089947089947","2.2","female","Ukraine does not change and it changes."
"54","00:03:19,755","00:03:24,554","4.799","0.06665277777777778","0.06425396825396826","1.8","female","Here... It will not change... You can't say so accurately and determine."
"55","00:03:24,579","00:03:26,579","2.0","0.06060606060606061","0.057227513227513224","2.0","female","Only your phrase does not change."
"56","00:03:26,604","00:03:28,000","1.396","0.04503225806451613","0.0452063492063492","2.5","female","How do you start the broadcast?"
"57","00:03:28,544","00:03:30,000","1.456","0.056","0.054603174603174605","2.1","female","I`m called Mykola Veresen."
"58","00:03:30,000","00:03:31,000","1.0","0.1111111111111111","0.10302645502645504","1.1","female","Yes, yes."
"59","00:03:31,000","00:03:32,000","1.0","0.0625","0.060783068783068786","1.9","female","That's the name."
"60","00:03:32,000","00:03:32,814","0.814","0.0814","0.07559788359788361","1.5","female","It's true."
"61","00:03:32,839","00:03:34,000","1.161","0.0725625","0.07144973544973544","1.6","female","That's the name."
"62","00:03:34,000","00:03:38,000","4.0","0.0784313725490196","0.07559788359788361","1.5","female","Thank you that we were able to get you out of Lviv."
"63","00:03:38,000","00:03:39,000","1.0","0.058823529411764705","0.057227513227513224","2.0","female","Yes, this is God."
"64","00:03:39,000","00:03:40,000","1.0","0.06666666666666667","0.06425396825396826","1.8","female","This is not me."
"65","00:03:40,000","00:03:41,000","1.0","0.06666666666666667","0.06425396825396826","1.8","female","This is no one."
"66","00:03:41,000","00:03:42,727","1.727","0.052333333333333336","0.05147089947089947","2.2","female","This is some kind of divine idea."
"67","00:03:42,752","00:03:45,000","2.248","0.06075675675675676","0.057227513227513224","2.0","female","Because I really had to come to Kyiv."
"68","00:03:45,000","00:03:46,000","1.0","0.041666666666666664","0.0452063492063492","2.5","female","I had things to do here."
"69","00:03:46,000","00:03:48,000","2.0","0.08333333333333333","0.08321693121693122","1.3","female","And they called me here."
"70","00:03:48,000","00:03:50,633","2.633","0.041140625","0.0452063492063492","2.5","female","And I thought, well, if I'm already here, then why won't I come?"
"71","00:03:50,658","00:03:52,633","1.975","0.13166666666666668","0.13104761904761905","0.9","female","I never refuse."
"72","00:03:52,704","00:03:55,000","2.296","0.05102222222222222","0.049439153439153435","2.3","female","Because I don't like it when  they refuse me."
"73","00:03:55,000","00:03:57,395","2.395","0.055697674418604654","0.054603174603174605","2.1","female","Because I have such a profession as you do."
"74","00:03:57,871","00:04:00,000","2.129","0.04258","0.0452063492063492","2.5","female","And it's obvious that when you consider something,"
"75","00:04:00,000","00:04:04,000","4.0","0.057971014492753624","0.057227513227513224","2.0","female","and then a person runs away at the last moment, it's very unpleasant."
"76","00:04:04,000","00:04:07,000","3.0","0.06818181818181818","0.06755555555555556","1.7","female","And I know what it's like so I never refuse."
"77","00:04:07,000","00:04:08,000","1.0","0.1","0.09532275132275132","1.2","female","Thank you."
"78","00:04:08,000","00:04:09,000","1.0","0.05","0.049439153439153435","2.3","female","Because, well, what?"
"79","00:04:09,000","00:04:11,397","2.397","0.08877777777777777","0.08321693121693122","1.3","female","If I had been in your place"
"80","00:04:11,421","00:04:14,000","2.579","0.04605357142857143","0.0452063492063492","2.5","female","and invited you, and you hadn't come at the last moment,"
"81","00:04:14,000","00:04:16,055","2.055","0.08934782608695653","0.08321693121693122","1.3","female","what would I have done?"
"82","00:04:16,079","00:04:17,000","0.92","0.0575","0.057227513227513224","2.0","female","I understand it."
"83","00:04:17,000","00:04:19,618","2.618","0.04363333333333333","0.0452063492063492","2.5","female","I had such an attitude yesterday when one person refused me."
"84","00:04:19,642","00:04:21,213","1.57","0.0490625","0.04791534391534392","2.4","female","And I was a little disappointed."
"85","00:04:21,238","00:04:24,532","3.294","0.0549","0.054603174603174605","2.1","female","But I also want to say thank you to Den Borysovich Yanevsky."
"86","00:04:24,557","00:04:30,724","6.167","0.0780632911392405","0.07559788359788361","1.5","female","Because he, sitting here in your place a week ago, remembered how you, in 1991,"
"87","00:04:30,749","00:04:37,000","6.251","0.0781375","0.07559788359788361","1.5","female","having, it seems, 20 dollars in your pocket, paid for a car and went to Belarus."
"88","00:04:37,392","00:04:41,000","3.608","0.055507692307692306","0.054603174603174605","2.1","female","And, in fact, today it is also the subject of our study with you."
"89","00:04:41,000","00:04:48,766","7.766","0.09245238095238095","0.08321693121693122","1.3","female","Because you are a person who saw the independence for 33 years and a little earlier."
"90","00:04:49,000","00:04:51,000","2.0","0.06451612903225806","0.06425396825396826","1.8","female","And you have something to tell."
"91","00:04:51,000","00:04:56,000","5.0","0.056818181818181816","0.054603174603174605","2.1","female","And I am interested in this, because all these memories of people who sit in this chair,"
"92","00:04:56,000","00:05:00,000","4.0","0.07142857142857142","0.06755555555555556","1.7","female","they are very subjective, but they are very fragmentary."
"93","00:05:00,000","00:05:03,417","3.417","0.08135714285714285","0.07559788359788361","1.5","female","And the story consists of these fragments."
"94","00:05:03,442","00:05:05,893","2.451","0.05978048780487805","0.057227513227513224","2.0","female","Because the views on it can be different."
"95","00:05:05,918","00:05:08,000","2.082","0.08675","0.08321693121693122","1.3","female","But this is a testimony."
"96","00:05:08,000","00:05:12,146","4.146","0.06188059701492537","0.060783068783068786","1.9","female","And I listened to you when you said that people think in every way,"
"97","00:05:12,171","00:05:17,000","4.829","0.09658","0.09532275132275132","1.2","female","but you call for tolerance, not Facebook emotions."
"98","00:05:17,000","00:05:19,704","2.704","0.09013333333333334","0.08321693121693122","1.3","female","I am the same with my viewers."
"99","00:05:19,729","00:05:24,350","4.621","0.05849367088607595","0.057227513227513224","2.0","female","I say, try to understand a person who has seen these circumstances in this way."
"100","00:05:25,000","00:05:31,000","6.0","0.10714285714285714","0.10302645502645504","1.1","female","And, probably, from 1991 and we will start... From 1989."
"101","00:05:31,000","00:05:32,338","1.338","0.0446","0.0452063492063492","2.5","female","Do we have to start from 1989?"
"102","00:05:32,363","00:05:33,363","1.0","0.1","0.09532275132275132","1.2","female","Well, yes."
"103","00:05:33,388","00:05:37,752","4.364","0.09091666666666666","0.08321693121693122","1.3","female","At the BBC, I even remember, on August 16, 1989,"
"104","00:05:37,777","00:05:39,681","1.904","0.04533333333333333","0.0452063492063492","2.5","female","my voice sounded there for the first time."
"105","00:05:39,706","00:05:42,659","2.953","0.05369090909090909","0.05147089947089947","2.2","female","That is, you are an inoagent speaking today's language."
"106","00:05:42,684","00:05:43,684","1.0","0.1","0.09532275132275132","1.2","female","I'm worse."
"107","00:05:43,709","00:05:46,709","3.0","0.125","0.1131005291005291","1.0","female","I didn't think about it."
"108","00:05:46,734","00:05:50,734","4.0","0.057971014492753624","0.057227513227513224","2.0","female","In Russian, there is such a saying, eyes are afraid, hands are doing."
"109","00:05:51,000","00:05:53,000","2.0","0.09523809523809523","0.08321693121693122","1.3","female","I had the same thing."
"110","00:05:53,000","00:05:59,000","6.0","0.0759493670886076","0.07559788359788361","1.5","female","And I was already somewhere at the end of the 90s, at the beginning of the 00s,"
"111","00:05:59,000","00:06:04,000","5.0","0.1","0.09532275132275132","1.2","female","I looked into the Penal Code of the Ukrainian SSR."
"112","00:06:04,000","00:06:06,000","2.0","0.05555555555555555","0.054603174603174605","2.1","female","There was no Penal Code of the USSR."
"113","00:06:06,000","00:06:08,000","2.0","0.06896551724137931","0.06755555555555556","1.7","female","What could be with me, right?"
"114","00:06:08,000","00:06:10,219","2.219","0.05997297297297297","0.057227513227513224","2.0","female","Each republic had its own Penal Code."
"115","00:06:10,841","00:06:14,841","4.0","0.0449438202247191","0.0452063492063492","2.5","female","I found, there is an article about the betrayal of the homeland in the form of espionage."
"116","00:06:15,000","00:06:19,363","4.363","0.1038809523809524","0.10302645502645504","1.1","female","The main basis of it, it is to get a gain."
"117","00:06:19,894","00:06:22,419","2.525","0.050499999999999996","0.049439153439153435","2.3","female","And since I worked at the BBC and received a gain,"
"118","00:06:22,444","00:06:25,444","3.0","0.0625","0.060783068783068786","1.9","female","I betrayed my homeland in the form of espionage."
"119","00:06:26,164","00:06:28,000","1.836","0.08742857142857144","0.08321693121693122","1.3","female","15 years or shooting."
"120","00:06:28,865","00:06:29,663","0.798","0.15960000000000002","0.1423068783068783","0.8","female","Cool."
"121","00:06:29,688","00:06:31,975","2.287","0.0486595744680851","0.04791534391534392","2.4","female","So... Mr. Mykola, you found a job for yourself."
"122","00:06:32,000","00:06:33,000","1.0","0.05263157894736842","0.05147089947089947","2.2","female","I just didn't know."
"123","00:06:33,000","00:06:37,000","4.0","0.057971014492753624","0.057227513227513224","2.0","female","Maybe if I had read it then, if someone had suggested the Penal Code,"
"124","00:06:37,000","00:06:39,000","2.0","0.0425531914893617","0.0452063492063492","2.5","female","I might have said, no, no, no, let's not do it."
"125","00:06:39,000","00:06:41,515","2.515","0.048365384615384616","0.04791534391534392","2.4","female","And what did the work at the BBC look like? Tell me."
"126","00:06:42,808","00:06:43,808","1.0","0.1","0.09532275132275132","1.2","female","Well, how?"
"127","00:06:43,833","00:06:44,833","1.0","0.125","0.1131005291005291","1.0","female","In 1989."
"128","00:06:44,858","00:06:48,561","3.703","0.08816666666666666","0.08321693121693122","1.3","female","In 1989 it was... Well, it was a disaster."
"129","00:06:48,586","00:06:53,450","4.864","0.06572972972972972","0.06425396825396826","1.8","female","Because you didn't even... Well, first of all, I'll tell you subjectively."
"130","00:06:53,475","00:06:58,271","4.796","0.0749375","0.07144973544973544","1.6","female","My first half of the year, I don't have much time, once a month,"
"131","00:06:58,296","00:07:00,000","1.704","0.03872727272727273","0.0452063492063492","2.5","female","two times a month, maybe three times a month"
"132","00:07:00,462","00:07:05,000","4.538","0.09261224489795919","0.08321693121693122","1.3","female","my temperature jumped to 40 degrees for one hour."
"133","00:07:06,359","00:07:11,000","4.641","0.116025","0.1131005291005291","1.0","female","After an hour, it dropped again to 36.6."
"134","00:07:14,502","00:07:16,000","1.498","0.0651304347826087","0.06425396825396826","1.8","female","And then I kept living."
"135","00:07:16,000","00:07:18,000","2.0","0.05555555555555555","0.054603174603174605","2.1","female","And then there was the report again."
"136","00:07:18,749","00:07:23,164","4.415","0.05733766233766234","0.057227513227513224","2.0","female","And then it was... Well, it wasn't now, I pressed, you called, and that's it."
"137","00:07:23,189","00:07:25,286","2.097","0.087375","0.08321693121693122","1.3","female","And then I had to order."
"138","00:07:25,681","00:07:27,311","1.63","0.040749999999999995","0.0452063492063492","2.5","female","So, tell me, there was no office, right?"
"139","00:07:27,336","00:07:28,469","1.133","0.04926086956521739","0.04791534391534392","2.4","female","Well, I don't remember."
"140","00:07:28,494","00:07:29,494","1.0","0.03571428571428571","0.0452063492063492","2.5","female","People think it's an office."
"141","00:07:29,519","00:07:31,000","1.481","0.13463636363636364","0.13104761904761905","0.9","female","073 or 079."
"142","00:07:31,000","00:07:34,000","3.0","0.15","0.1423068783068783","0.8","female","You call 073 or 079."
"143","00:07:34,526","00:07:35,526","1.0","0.058823529411764705","0.057227513227513224","2.0","female","I still remember."
"144","00:07:35,551","00:07:39,000","3.449","0.04155421686746988","0.0452063492063492","2.5","female","And you say, the girl is from Smolny, but not from Smolny, the girl is from London."
"145","00:07:39,663","00:07:42,000","2.337","0.049723404255319154","0.049439153439153435","2.3","female","Obviously, a major is sitting next to the girl."
"146","00:07:42,774","00:07:46,000","3.226","0.052885245901639344","0.05147089947089947","2.2","female","And he is recording all the people who are calling in London."
"147","00:07:46,000","00:07:54,000","8.0","0.11267605633802817","0.10302645502645504","1.1","female","And when one calls the BBC, it's obvious that he is not only signaling."
"148","00:07:54,000","00:08:00,000","6.0","0.1111111111111111","0.10302645502645504","1.1","female","Well, I was then shown by the mayor of Odesa, Gurvits."
"149","00:08:00,000","00:08:02,000","2.0","0.11764705882352941","0.1131005291005291","1.0","female","He laughed a lot."
"150","00:08:02,000","00:08:03,000","1.0","0.034482758620689655","0.0452063492063492","2.5","female","We met in the Verkhovna Rada."
"151","00:08:03,000","00:08:07,000","4.0","0.0784313725490196","0.07559788359788361","1.5","female","He showed me... So, there was already independence,"
"152","00:08:07,000","00:08:12,000","5.0","0.06493506493506493","0.06425396825396826","1.8","female","but top officials received on the table the interception of the radio voices."
"153","00:08:12,655","00:08:16,000","3.345","0.0696875","0.06755555555555556","1.7","female","And he showed me, like, the enemy of the people."
"154","00:08:16,000","00:08:21,000","5.0","0.0684931506849315","0.06755555555555556","1.7","female","Here is Veresen, here is such a... And there was also the word 'secrecy.'"
"155","00:08:21,000","00:08:24,000","3.0","0.1111111111111111","0.10302645502645504","1.1","female","What did you say in London?"
"156","00:08:24,000","00:08:26,000","2.0","0.05405405405405406","0.05147089947089947","2.2","female","Everything that could be listened to."
"157","00:08:26,000","00:08:28,000","2.0","0.045454545454545456","0.0452063492063492","2.5","female","It was very funny, because you could listen,"
"158","00:08:28,000","00:08:32,409","4.409","0.07227868852459016","0.07144973544973544","1.6","female","and the next morning you could look at yourself at the table."
"159","00:08:32,433","00:08:34,000","1.566","0.05592857142857143","0.054603174603174605","2.1","female","The same thing as yesterday."
"160","00:08:34,000","00:08:38,328","4.329","0.050929411764705876","0.049439153439153435","2.3","female","Yesterday, as a normal citizen, you could catch the BBC frequency if it wasn't muted."
"161","00:08:38,354","00:08:39,395","1.041","0.061235294117647054","0.060783068783068786","1.9","female","And listen to it."
"162","00:08:39,419","00:08:42,203","2.783","0.05351923076923077","0.05147089947089947","2.2","female","And Shcherbitsky got it on the table in the morning."
"163","00:08:42,227","00:08:43,436","1.208","0.10066666666666667","0.09532275132275132","1.2","female","Printed one."
"164","00:08:44,269","00:08:46,269","2.0","0.05714285714285714","0.054603174603174605","2.1","female","And why did the choice fall on you?"
"165","00:08:46,520","00:08:49,174","2.654","0.12063636363636364","0.1131005291005291","1.0","female","Nobody wanted to work."
"166","00:08:49,878","00:08:52,000","2.122","0.0663125","0.06425396825396826","1.8","female","Well, who wants to go to prison?"
"167","00:08:52,000","00:08:53,000","1.0","0.037037037037037035","0.0452063492063492","2.5","female","Who wants to go to Siberia?"
"168","00:08:53,000","00:08:54,000","1.0","0.0625","0.060783068783068786","1.9","female","Nobody wants to."
"169","00:08:54,000","00:08:55,589","1.589","0.06356","0.060783068783068786","1.9","female","It's just Veresen, idiot."
"170","00:08:56,000","00:08:59,000","3.0","0.1","0.09532275132275132","1.2","female","That's why I got there myself."
"171","00:08:59,576","00:09:04,000","4.424","0.058210526315789476","0.057227513227513224","2.0","female","And that's why somehow they... Well, there are no such people there anymore."
"172","00:09:04,000","00:09:06,416","2.416","0.11504761904761904","0.1131005291005291","1.0","female","Those were old times."
"173","00:09:06,441","00:09:09,553","3.112","0.07237209302325581","0.07144973544973544","1.6","female","It was such a classic BBC, Russian service."
"174","00:09:09,578","00:09:11,000","1.422","0.0444375","0.0452063492063492","2.5","female","Well, there were no others then."
"175","00:09:11,566","00:09:14,000","2.434","0.0760625","0.07559788359788361","1.5","female","Then the Ukrainian one appeared."
"176","00:09:14,000","00:09:20,000","6.0","0.08108108108108109","0.07559788359788361","1.5","female","And when Techer came here, Chornovyl asked her why there was no Ukrainian."
"177","00:09:20,000","00:09:22,341","2.341","0.08072413793103449","0.07559788359788361","1.5","female","And she said, well, we can't."
"178","00:09:22,366","00:09:25,000","2.634","0.039313432835820894","0.0452063492063492","2.5","female","How many languages do we have on the territory of the Soviet Union?"
"179","00:09:25,543","00:09:28,000","2.457","0.07226470588235294","0.07144973544973544","1.6","female","Only 15 languages of the republic."
"180","00:09:28,000","00:09:30,162","2.162","0.094","0.08321693121693122","1.3","female","There is also autonomy."
"181","00:09:30,432","00:09:32,000","1.568","0.04237837837837838","0.0452063492063492","2.5","female","She says we don't have such a budget."
"182","00:09:32,000","00:09:35,000","3.0","0.1","0.09532275132275132","1.2","female","We can't speak every language."
"183","00:09:35,000","00:09:36,000","1.0","0.03571428571428571","0.0452063492063492","2.5","female","Well, that's a lot of money."
"184","00:09:36,000","00:09:38,000","2.0","0.07142857142857142","0.06755555555555556","1.7","female","It all costs a lot of money."
"185","00:09:38,000","00:09:42,000","4.0","0.08","0.07559788359788361","1.5","female","And so there was a Russian service, a classic one."
"186","00:09:42,000","00:09:46,000","4.0","0.058823529411764705","0.057227513227513224","2.0","female","And they treated me very well because I think they didn't understand"
"187","00:09:46,000","00:09:48,000","2.0","0.08","0.07559788359788361","1.5","female","why the hell I needed it."
"188","00:09:48,543","00:09:50,607","2.064","0.12141176470588236","0.1131005291005291","1.0","female","A spy in Ukraine."
"189","00:09:50,632","00:09:52,000","1.368","0.08047058823529413","0.07559788359788361","1.5","female","A spy in Ukraine."
"190","00:09:52,000","00:09:54,000","2.0","0.14285714285714285","0.1423068783068783","0.8","female","Yes, yes, yes."
"191","00:09:54,000","00:09:58,000","4.0","0.07017543859649122","0.06755555555555556","1.7","female","Well, I was lucky today because Veresen came in February."
"192","00:09:58,000","00:10:01,000","3.0","0.07317073170731707","0.07144973544973544","1.6","female","And why did Veresen appear, in principle?"
"193","00:10:01,754","00:10:10,409","8.655","0.0951098901098901","0.08321693121693122","1.3","female","Oh, it's so delusional... It's so... As I tell you now, it's not far from here, by the way."
"194","00:10:10,434","00:10:12,433","1.999","0.06057575757575758","0.057227513227513224","2.0","female","It's quite close to the madhouse."
"195","00:10:12,458","00:10:15,496","3.038","0.07065116279069766","0.06755555555555556","1.7","female","A car will come after me from the madhouse."
"196","00:10:15,521","00:10:18,000","2.479","0.09916","0.09532275132275132","1.2","female","So, I wasn't a dissident."
"197","00:10:18,866","00:10:20,554","1.688","0.07033333333333333","0.06755555555555556","1.7","female","But I worked at the BBC."
"198","00:10:20,579","00:10:24,000","3.421","0.05030882352941176","0.049439153439153435","2.3","female","And among the dissidents, they investigated me for a very long time."
"199","00:10:24,000","00:10:25,451","1.451","0.022323076923076925","0.0452063492063492","2.5","female","Well, those who were already... Well, you were even the opposite."
"200","00:10:25,476","00:10:28,000","2.524","0.09014285714285715","0.08321693121693122","1.3","female","You were from an elite club."
"201","00:10:28,000","00:10:30,000","2.0","0.038461538461538464","0.0452063492063492","2.5","female","No, my father was a member of the Central Committee."
"202","00:10:30,000","00:10:33,000","3.0","0.06","0.057227513227513224","2.0","female","He was the head of the Verkhovna Rada at the time."
"203","00:10:33,245","00:10:35,245","2.0","0.05263157894736842","0.05147089947089947","2.2","female","Well, this is such a nominal position."
"204","00:10:35,270","00:10:37,000","1.73","0.036041666666666666","0.0452063492063492","2.5","female","Now the head of the Verkhovna Rada is something."
"205","00:10:37,000","00:10:40,000","3.0","0.06976744186046512","0.06755555555555556","1.7","female","And then it was just... Well, gilded youth."
"206","00:10:40,000","00:10:41,000","1.0","0.05263157894736842","0.05147089947089947","2.2","female","One way or another."
"207","00:10:41,000","00:10:42,000","1.0","0.07692307692307693","0.07559788359788361","1.5","female","Gilded youth."
"208","00:10:42,000","00:10:46,000","4.0","0.06666666666666667","0.06425396825396826","1.8","female","Well, among gilded youth, there was gold, there was diamond,"
"209","00:10:46,000","00:10:48,000","2.0","0.1111111111111111","0.10302645502645504","1.1","female","and there was bad."
"210","00:10:48,000","00:10:48,646","0.646","0.09228571428571429","0.08321693121693122","1.3","female","Really?"
"211","00:10:48,671","00:10:55,457","6.786","0.084825","0.08321693121693122","1.3","female","Because it didn't always correspond... Your behavior didn't always correspond..."
"212","00:10:56,000","00:11:00,000","4.0","0.08","0.07559788359788361","1.5","female","For example, if you study international relations,"
"213","00:11:00,418","00:11:03,519","3.101","0.0443","0.0452063492063492","2.5","female","international law, international relations, then this is gold, really."
"214","00:11:03,544","00:11:04,735","1.191","0.04580769230769231","0.0452063492063492","2.5","female","Petro Oleksievich is gold."
"215","00:11:04,760","00:11:05,760","1.0","0.25","0.23602116402116402","0.5","female","Yes."
"216","00:11:05,785","00:11:08,785","3.0","0.06666666666666667","0.06425396825396826","1.8","female","And there, well, all these people... And you?"
"217","00:11:08,810","00:11:14,975","6.165","0.07903846153846154","0.07559788359788361","1.5","female","All these people, they... They went to restaurants, they lived so luxuriously."
"218","00:11:15,000","00:11:17,665","2.665","0.04441666666666667","0.0452063492063492","2.5","female","We didn't go to restaurants because I didn't have any money."
"219","00:11:19,000","00:11:23,000","4.0","0.08333333333333333","0.08321693121693122","1.3","female","And so it is believed that those who were there,"
"220","00:11:23,000","00:11:26,000","3.0","0.0625","0.060783068783068786","1.9","female","we also looked at them, they were all like that."
"221","00:11:26,000","00:11:29,000","3.0","0.0967741935483871","0.09532275132275132","1.2","female","They dressed up... Like people."
"222","00:11:29,000","00:11:31,000","2.0","0.13333333333333333","0.13104761904761905","0.9","female","Yes, and so on."
"223","00:11:31,000","00:11:35,000","4.0","0.06557377049180328","0.06425396825396826","1.8","female","I entered the Faculty of History because they had refused me."
"224","00:11:35,000","00:11:42,369","7.369","0.08187777777777777","0.07559788359788361","1.5","female","I wanted to study international relations, but academician Shlipakov, Arnold Nikolayevich,"
"225","00:11:42,394","00:11:45,000","2.606","0.07043243243243243","0.06755555555555556","1.7","female","the main internationalist of Ukraine,"
"226","00:11:45,000","00:11:53,770","8.77","0.12013698630136986","0.1131005291005291","1.0","female","director of the Institute of International Relations and World Economics,"
"227","00:11:53,795","00:11:55,421","1.626","0.05606896551724137","0.054603174603174605","2.1","female","he was there, now he is gone."
